23 2
6.980252189674540375e+01 9.942857142857143282e-01
1.745063047418634881e+02 9.785714285714285365e-01
2.393229322174128129e+02 9.557142857142857384e-01
3.390408206413347898e+02 8.942857142857142394e-01
4.537163923288450746e+02 8.128571428571428337e-01
5.683919640163553595e+02 6.914285714285713924e-01
6.855604829144638188e+02 6.385714285714285676e-01
8.002360546019741605e+02 6.128571428571428781e-01
9.049398374470921453e+02 6.014285714285714235e-01
1.027094250766396499e+03 5.785714285714286254e-01
1.144262769664504958e+03 5.614285714285713880e-01
1.256445394141417182e+03 5.414285714285714812e-01
1.366135071407731175e+03 5.071428571428571175e-01
1.475824748674045622e+03 4.942857142857142727e-01
1.588007373150957847e+03 4.642857142857143016e-01
1.710161786470262314e+03 4.442857142857142838e-01
1.814865569315380299e+03 4.199999999999999845e-01
1.934527035424086762e+03 4.042857142857143038e-01
2.049202607111596990e+03 3.842857142857142860e-01
2.153906389956714975e+03 3.771428571428571686e-01
2.271074908854823661e+03 3.628571428571428781e-01
2.385750480542333662e+03 3.414285714285714146e-01
2.482975421755657862e+03 3.114285714285714435e-01
